0610031J06Rik,56700
1110008J03Rik,100764
1700108N11Rik,74301,107586
2010315B03Rik,630836
2210018M11Rik,233545
2210404O09Rik,70081
2310045N01Rik,105980076,72368
2410141K09Rik,76803
2610008E11Rik,72128
2610021A01Rik,668572
2610044O15Rik8,72139
2610305D13Rik,112422
2700050L05Rik,214764
2700081O15Rik,108899
2810021J22Rik,69944
4930522L14Rik,100041734
5430403G16Rik,77200
5730507C01Rik,236366
5830428H23Rik,414758
9130019O22Rik,78921
9130023H24Rik,100043133
9830147E19Rik,208111
A430033K04Rik,243308
Aatf,56321
Abl1,11350
Abra,223513
Abt1,30946
AC168977.1
Actl6a,56456
Actl6b,83766
Actn1,109711
Actn2,11472
Actn4,60595
Actr5,109275
Actr6,67019
Actr8,56249
Adnp,11538
Adnp2,240442
Adrb2,11555
Aebp1,11568
Aebp2,11569
Aff1,17355
Aff2,14266
Aff3,16764
Aff4,93736
Ago1,236511
Ago2,239528
Ahctf1,226747
Ahr,11622
Ahrr,11624
AI854703,243373
AI987944,233168
Aim2,383619
Aip,11632
Aire,11634
Ajuba,16475
Akna,100182
Alpk3,116904
Alx1,216285
Alx3,11694
Alx4,11695
Alyref,21681
Ankar,319695
Ankra2,68558
Ankrd1,107765
Ankrd2,56642
Anxa4,11746
Apbb1,11785
Apex1,11792
Ar,11835
Arglu1,234023
Arhgap35,232906
Arhgap5,11855
Arhgef5,54324
Arid1a,93760
Arid1b,239985
Arid2,77044
Arid3a,13496
Arid3b,56380
Arid3c,550619
Arid4a,238247
Arid4b,94246
Arid5a,214855
Arid5b,71371
Arl2bp,107566
Arnt,11863
Arnt2,11864
Arntl,11865
Arntl2,272322
Arrb1,109689
Arrb2,216869
Arx,11878
Ascc1,69090
Ascc2,75452
Ascc3,77987
Ascl1,17172
Ascl2,17173
Asf1b,66929
Ash1l,192195
Asxl1,228790
Atad2,70472
Atf1,11908
Atf2,11909
Atf3,11910
Atf5,107503
Atf6,226641
Atf6b,12915
Atf7,223922
Atf7ip,54343
Atn1,13498
Atoh1,11921
Atoh8,71093
Atrx,22589
Atxn7l3,217218
AU041133,216177
Aurkb,20877
Auts2,319974
AW146154,101835
Axin1,12005
Bach1,12013
Bach2,12014
Bahcc1,268515
Banp,53325
Barhl1,54422
Barhl2,104382
Barx1,12022
Barx2,12023
Basp1,70350
Batf,53314
Batf2,74481
Batf3,381319
Baz1a,217578
Baz1b,22385
Baz2a,116848
Baz2b,407823
Bbx,70508
BC004004,80748
BC018507,218333
BC025920,268319
Bcas3,192197
Bcl10,12042
Bcl11a,14025
Bcl11b,58208
Bcl3,12051
Bcl6,12053
Bcl6b,12029
Bcl9,77578
Bcl9l,80288
Bcor,71458
Bdp1,544971
Bend3,331623
Bend6,320705
Bex2,12069
Bhlha15,17341
Bhlhe22,59058
Bhlhe23,140489
Bhlhe40,20893
Bhlhe41,79362
Birc2,11797
Birc5,11799
Blm,12144
Blzf1,66352
Bmi1,12151
Bnc1,12173
Bnc2,242509
Brca1,12189
Brca2,12190
Brd1,223770
Brd4,57261
Brd7,26992
Brd8,78656
Brdt,114642
Brf1,72308
Brf2,66653
Brip1,237911
Brms1,107392
Brms1l,52592
Brwd1,93871
Btaf1,107182
Btg1,12226
Btk,12229
Btn1a1,12231
Btrc,12234
C030039L03Rik,112415
C1d,57316
Calcoco1,67488
Camk2a,12322
Camk2d,108058
Camk4,12326
Camta1,100072
Camta2,216874
Capn15,50817
Carf,241066
Carm1,59035
Cask,12361
Casp8ap2,26885
Casz1,69743
Cbfa2t2,12396
Cbfa2t3,12398
Cbfb,12400
Cbl,12402
Cbx2,12416
Cbx3,12417
Cbx4,12418
Cbx6,494448
Cbx7,52609
Cbx8,30951
Cc2d1a,212139
Ccar2,219158
Ccdc62,208908
Ccdc85b,240514
Ccna1,12427
Ccna2,12428
Ccnc,51813
Ccnd1,12443
Ccne1,12447
Ccnh,66671
Ccnk,12454
Ccnt1,12455
